Year,Competition,Location,Gender,Phase,Gate,BIB,Ramp Position,Action,Order,Final Position,Upstream Tactic,Athlete Name,Faults,Contest Statistics,Video Link
2024,OLY,Paris,W,R8,Gate 2,B,,Right-Up,2,,FOLLOW,,,,
2024,OLY,Paris,W,R8,Gate 2,G,,Right-Up,3,,FOLLOW,,,,
2024,OLY,Paris,W,R8,Gate 2,Y,,Right-Up,4,,FOLLOW,,,,
2024,OLY,Paris,W,R8,Gate 3,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R8,Gate 3,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R8,Gate 3,G,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R8,Gate 3,Y,,Down-Right,4,,,,,,
2024,OLY,Paris,W,R8,Gate 4,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R8,Gate 4,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R8,Gate 4,G,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R8,Gate 4,Y,,Down-Left,4,,,,FLT,,
2024,OLY,Paris,W,R8,Gate 5,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R8,Gate 5,B,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R8,Gate 5,G,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R8,Gate 5,Y,,Down-Left,4,,,,,,
2024,OLY,Paris,W,R8,Gate 6,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R8,Gate 6,B,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R8,Gate 6,G,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R8,Gate 6,Y,,Down-Right,4,,,,,,
2024,OLY,Paris,W,R8,Gate 7,R,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R8,Gate 7,B,,Down-Through,2,,,,,,
2024,OLY,Paris,W,R8,Gate 7,G,,Down-Through,3,,,,,,
2024,OLY,Paris,W,R8,Gate 7,Y,,Down-Through,4,,,,,,
2024,OLY,Paris,W,R8,Gate 8,R,,Left-Up,1,,Left-Up,,,,
2024,OLY,Paris,W,R8,Gate 8,B,,Right-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R8,Gate 8,G,,Right-Up,3,,FOLLOW,,,,
2024,OLY,Paris,W,R8,Gate 8,Y,,Left-Up,4,,SPLIT,,,,
2024,OLY,Paris,W,R8,Finish,R,,Finish,1,1,,,,,
2024,OLY,Paris,W,R8,Finish,B,,Finish,2,2,,,,,
2024,OLY,Paris,W,R8,Finish,Y,,Finish,3,3,,,,,
2024,OLY,Paris,W,R8,Finish,G,,Finish,4,4,,,,,
2024,OLY,Paris,W,R9,Ramp,R,1,Assigned,,,,DORIA Monica,,,
2024,OLY,Paris,W,R9,Ramp,G,2,Assigned,,,,MINTALOVA Eliska,,,
2024,OLY,Paris,W,R9,Ramp,B,4,Assigned,,,,Li Shiting,,,
2024,OLY,Paris,W,R9,Ramp,Y,3,Assigned,,,,OKAZAKI Haruka,,,
2024,OLY,Paris,W,R9,Gate 1,G,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R9,Gate 1,R,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R9,Gate 1,B,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R9,Gate 1,Y,,Down-Left,4,,,,FLT,,
2024,OLY,Paris,W,R9,Course,G,,Roll,1,,,,,,
2024,OLY,Paris,W,R9,Course,R,,Roll,2,,,,,,
2024,OLY,Paris,W,R9,Course,B,,Roll,3,,,,,,
2024,OLY,Paris,W,R9,Course,Y,,Roll,4,,,,,,
2024,OLY,Paris,W,R9,Gate 2,R,,Right-Up,1,,Right-Up,,,,
2024,OLY,Paris,W,R9,Gate 2,G,,Left-Up,2,,SPLIT,,,,
2024,OLY,Paris,W,R9,Gate 2,B,,Left-Up,3,,FOLLOW,,,,
2024,OLY,Paris,W,R9,Gate 2,Y,,Right-Up,4,,SPLIT,,,,
2024,OLY,Paris,W,R9,Gate 3,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R9,Gate 3,G,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R9,Gate 3,Y,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R9,Gate 3,B,,Down-Right,4,,,,,,
2024,OLY,Paris,W,R9,Gate 4,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R9,Gate 4,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R9,Gate 4,Y,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R9,Gate 4,B,,Down-Left,4,,,,,,
2024,OLY,Paris,W,R9,Gate 5,R,,Down-Left,1,,,,,,
2024,OLY,Paris,W,R9,Gate 5,G,,Down-Left,2,,,,,,
2024,OLY,Paris,W,R9,Gate 5,Y,,Down-Left,3,,,,,,
2024,OLY,Paris,W,R9,Gate 5,B,,Down-Left,4,,,,,,
2024,OLY,Paris,W,R9,Gate 6,R,,Down-Right,1,,,,,,
2024,OLY,Paris,W,R9,Gate 6,G,,Down-Right,2,,,,,,
2024,OLY,Paris,W,R9,Gate 6,Y,,Down-Right,3,,,,,,
2024,OLY,Paris,W,R9,Gate 6,B,,Down-Right,4,,,,,,
2024,OLY,Paris,W,R9,Gate 7,R,,Down-Through,1,,,,,,
2024,OLY,Paris,W,R9,Gate 7,G,,Down-Through,2,,,,,,
