Year,Competition,Location,Gender,Athlete,Split 1,Split 2,Split 3,Split 4,Split 5,Split 6,Split 7,Split 8,Split 9,Total Time,Rank,Faults,NOTES & COMMENTS
2026,WC1,Tacen,W,BLUME Mina,9.54092,10.70389778,8.871862222,9.50392,6.99188,8.03196,3.87596,,,57.5204,10,,
2026,WC1,Tacen,W,PISTONI Lucia,0,0,0,0,0,0,0,,,0,31,,
2026,WC1,Tacen,W,XU Linxi,0,0,0,0,0,0,0,,,0,20,,
2026,WC1,Tacen,W,TOMISAWA Kurumi,0,0,0,0,0,0,0,,,0,34,,
2026,WC1,Tacen,W,COCHRANE Georgina,0,0,0,0,0,0,0,,,0,19,,
2026,WC1,Tacen,W,PLOCHMANN Amelie,0,0,0,0,0,0,0,,,0,26,,
2026,WC1,Tacen,M,CLARKE Joseph,8.344945,8.18751,6.945901667,8.333851667,5.733893333,7.477855,3.541925,,,48.56588167,4,,
2026,WC1,Tacen,M,BUTCHER Finn,7.67768,8.46152,7.079657778,8.651702222,6.04572,7.72588,4.27376,,,49.91592,10,,
2026,WC1,Tacen,M,MADORE Mathurin,7.70896,8.15552,6.50592,8.75788,6.23164,7.22388,4.0078,,,48.5916,2,,
2026,WC1,Tacen,M,POLACZYK Mateusz,8.5712,8.16312,8.7858,7.8618,6.28964,7.53192,3.68784,,,50.89132,14,,
2026,WC1,Tacen,M,LEAVER Sam,7.845315,8.019711667,7.169833333,7.7539,5.943848333,7.25595,3.399973333,,,47.38853167,1,,
2026,WC1,Tacen,M,KREJCI Jakub,8.11744,8.6934,7.24184,7.65976,6.37172,7.10788,3.83384,,,49.02588,3,,
2026,WC1,Tacen,M,HOCEVAR Ziga Lin,7.69376,8.21544,7.72972,8.81744,5.93756,7.36388,3.5038,,,49.2616,7,,
2026,WC1,Tacen,M,ROHRER Jan,8.54744,8.72536,7.53388,9.04984,6.19572,7.74392,4.14584,,,51.942,22,,
2026,WC1,Tacen,M,RENIA Benjamin,8.40512,8.69172,6.55588,7.84988,5.8958,7.8398,3.91592,,,49.15412,6,,
2026,WC1,Tacen,M,LLORENTE David,8.7854,8.99368,7.9818,8.29564,5.98572,8.01396,4.2978,,,52.354,31,,
2026,WC1,Tacen,M,DE GENNARO Giovanni,8.71709,8.771456667,7.461865,7.897878333,6.345918333,7.345849444,3.471968889,,,50.01202667,9,,
2026,WC1,Tacen,M,DELFOUR Lucien,8.64056,8.15108,7.391866667,8.499773333,5.8898,7.71784,3.53796,,,49.82888,8,,
2026,WC1,Tacen,M,MARX Dimitri,8.685013333,8.113636667,8.087877778,8.639922222,6.463838333,7.535939444,3.413975556,,,50.94020333,17,,
2026,WC1,Tacen,M,HU Zhaoshan,0,0,0,0,0,0,0,,,0,23,,
2026,WC1,Tacen,M,QUAN Xin,0,0,0,0,0,0,0,,,0,44,,
2026,WC1,Tacen,M,CONTRERAS Manel,0,0,0,0,0,0,0,,,0,19,,
2026,WC1,Tacen,M,OSCHMAUTZ Felix,8.283676667,8.339611667,7.899766667,8.245936667,6.073716667,7.801956667,3.533978333,,,50.17864333,11,,
2026,WC1,Tacen,M,FERRAZZI Xabier,8.5996,8.52368,6.91584,8.17776,6.72572,7.79592,3.72788,,,50.4664,16,,
2026,WC1,Tacen,M,HALCIN Martin,0,0,0,0,0,0,0,,,0,49,,
2026,WC1,Tacen,M,ECHANIZ Pau,8.22944,8.6716,7.94376,8.5718,6.44372,7.91188,3.37992,,,51.15212,18,,
2026,WC1,Tacen,M,PUCHNER Oliver,0,0,0,0,0,0,0,,,0,27,,
2026,WC1,Tacen,M,SAVLI Jakob,0,0,0,0,0,0,0,,,0,41,,
2026,WC1,Tacen,M,FRIEDENSON Kaelin,0,0,0,0,0,0,0,,,0,37,,
2026,WC1,Tacen,M,CROSBEE Mark,8.89938,8.905621667,8.787778333,8.641903333,7.07963,8.423967222,4.955977778,,,55.69425833,46,,
2026,WC1,Tacen,M,LEITNER Mario,0,0,0,0,0,0,0,,,0,33,,
2026,WC1,Tacen,M,PASIUT Michal,0,0,0,0,0,0,0,,,0,28,,
2026,WC1,Tacen,M,SACHERS Felix,0,0,0,0,0,0,0,,,0,36,,
2026,WC1,Tacen,M,PISTONI Michele,8.9738,8.8878,6.6878,8.66584,6.27364,7.65376,3.50192,,,50.64456,13,,
2026,WC1,Tacen,M,FEDORENKO Oleksandr,8.21166,8.301373333,7.467693333,8.255965,6.777771667,8.475895,3.727986667,,,51.218345,15,,
2026,WC1,Tacen,M,KREMSLEHNER Moritz,0,0,0,0,0,0,0,,,0,52,,
2026,WC1,Tacen,M,GALEA Riley,8.35764,8.87132,7.895793333,8.551806667,5.92352,7.82788,3.97192,,,51.39988,20,,
2026,WC1,Tacen,M,FEHLMANN Nicolas,0,0,0,0,0,0,0,,,0,21,,
2026,WC1,Tacen,M,HAYLETT Ben,0,0,0,0,0,0,0,,,0,29,,
2026,WC1,Tacen,M,KOPECEK Michal,0,0,0,0,0,0,0,,,0,38,,
2026,WC1,Tacen,M,KRACHKO Arkhyp,0,0,0,0,0,0,0,,,0,32,,
2026,WC1,Tacen,M,SOVKO Serhii,0,0,0,0,0,0,0,,,0,53,,
2026,WC1,Tacen,M,DIETZ Enrico,0,0,0,0,0,0,0,,,0,34,,
2026,WC1,Tacen,M,UKALOVIC Thomas,0,0,0,0,0,0,0,,,0,25,,
2026,WC1,Tacen,M,BARTA Jan,0,0,0,0,0,0,0,,,0,24,,
2026,WC1,Tacen,M,BARAT Andy,0,0,0,0,0,0,0,,,0,47,,
2026,WC1,Tacen,M,ROZENTALS Klass Francisks,0,0,0,0,0,0,0,,,0,39,,
2026,WC1,Tacen,M,SMOLEN Michal,8.71148,8.34556,7.41776,7.94584,6.22572,7.25388,3.53592,,,49.43616,5,,
2026,WC1,Tacen,M,SEVCIK Matej,0,0,0,0,0,0,0,,,0,51,,
2026,WC1,Tacen,M,HELLO Joris,7.44344,9.65076,7.7538,8.36172,5.9938,48.07376,3.87388,,,91.15116,12,,
2026,WC1,Tacen,M,KONRAD Marten,0,0,0,0,0,0,0,,,0,30,,
2026,WC1,Tacen,M,WESTFALL Tyler,0,0,0,0,0,0,0,,,0,45,,
2026,WC1,Tacen,M,HENDRICK Noel,0,0,0,0,0,0,0,,,0,42,,
2026,WC1,Tacen,M,WENG Jize,0,0,0,0,0,0,0,,,0,40,,
2026,WC1,Tacen,M,KRAMER Jernej,0,0,0,0,0,0,0,,,0,48,,
2026,WC1,Tacen,M,YAMAMOTO Keigo,0,0,0,0,0,0,0,,,0,43,,
2026,WC1,Tacen,M,COWAN Padraig,0,0,0,0,0,0,0,,,0,50,,
2026,WC1,Tacen,M,PARRY Daniel,0,0,0,0,0,0,0,,,0,35,,
